V (V)	I (A)
2.587E-1	1.382E-2
2.600E-1	1.371E-2
2.600E-1	1.371E-2
2.603E-1	1.369E-2
2.607E-1	1.368E-2
2.607E-1	1.368E-2
2.619E-1	1.364E-2
2.624E-1	1.362E-2
2.635E-1	1.359E-2
2.639E-1	1.358E-2
2.640E-1	1.356E-2
2.653E-1	1.350E-2
2.658E-1	1.348E-2
2.658E-1	1.348E-2
2.666E-1	1.342E-2
2.681E-1	1.336E-2
2.691E-1	1.333E-2
2.701E-1	1.330E-2
2.720E-1	1.327E-2
2.722E-1	1.325E-2
2.733E-1	1.323E-2
2.733E-1	1.323E-2
2.737E-1	1.321E-2
2.751E-1	1.316E-2
2.752E-1	1.316E-2
2.754E-1	1.315E-2
2.758E-1	1.314E-2
2.766E-1	1.309E-2
2.770E-1	1.308E-2
2.778E-1	1.304E-2
2.789E-1	1.300E-2
2.794E-1	1.296E-2
2.805E-1	1.292E-2
2.808E-1	1.291E-2
2.809E-1	1.290E-2
2.821E-1	1.285E-2
2.884E-1	1.249E-2
2.979E-1	1.213E-2
2.979E-1	1.213E-2
2.979E-1	1.209E-2
2.992E-1	1.187E-2
2.992E-1	1.187E-2
2.998E-1	1.184E-2
3.005E-1	1.181E-2
3.011E-1	1.180E-2
3.024E-1	1.177E-2
3.024E-1	1.177E-2
3.028E-1	1.174E-2
3.041E-1	1.139E-2
3.045E-1	1.104E-2
3.077E-1	8.593E-3
3.087E-1	7.890E-3
3.090E-1	7.602E-3
3.103E-1	7.040E-3
3.103E-1	7.030E-3
3.111E-1	6.686E-3
3.121E-1	6.519E-3
3.124E-1	6.505E-3
3.137E-1	6.493E-3
3.142E-1	6.500E-3
3.148E-1	6.508E-3
3.155E-1	6.515E-3
3.166E-1	6.530E-3
3.175E-1	6.543E-3
3.185E-1	6.560E-3
3.278E-1	6.953E-3
3.351E-1	7.107E-3
3.353E-1	7.105E-3
3.357E-1	7.130E-3
3.369E-1	7.183E-3
3.372E-1	7.199E-3
3.381E-1	7.255E-3
3.384E-1	7.264E-3
3.390E-1	7.293E-3
3.390E-1	7.292E-3
3.390E-1	7.293E-3
3.399E-1	7.346E-3
3.408E-1	7.395E-3
3.411E-1	7.415E-3
3.422E-1	7.463E-3
3.422E-1	7.464E-3
3.429E-1	7.519E-3
3.439E-1	7.565E-3
3.441E-1	7.571E-3
3.443E-1	7.601E-3
3.455E-1	7.664E-3
3.459E-1	7.684E-3
3.472E-1	7.763E-3
3.475E-1	7.794E-3
3.483E-1	7.831E-3
3.486E-1	7.863E-3
3.498E-1	7.955E-3
3.507E-1	7.996E-3
3.510E-1	8.029E-3
3.520E-1	8.079E-3
3.520E-1	8.078E-3
3.680E-1	9.331E-3
3.686E-1	9.377E-3
3.686E-1	9.377E-3
3.691E-1	9.448E-3
3.704E-1	9.552E-3
3.731E-1	9.787E-3
3.735E-1	9.822E-3
3.742E-1	9.903E-3
3.752E-1	9.988E-3
3.754E-1	1.002E-2
3.768E-1	1.016E-2
3.778E-1	1.023E-2
3.786E-1	1.033E-2
