V (V)	I (A)
4.843E-1	4.966E-2
4.853E-1	4.945E-2
4.853E-1	4.945E-2
4.853E-1	4.945E-2
4.859E-1	4.925E-2
4.873E-1	4.896E-2
4.886E-1	4.868E-2
4.905E-1	4.829E-2
4.905E-1	4.829E-2
4.905E-1	4.829E-2
4.905E-1	4.829E-2
4.912E-1	4.816E-2
4.925E-1	4.792E-2
4.929E-1	4.784E-2
4.942E-1	4.761E-2
4.789E-1	5.164E-2
4.783E-1	5.180E-2
4.779E-1	5.195E-2
4.759E-1	5.328E-2
4.724E-1	5.698E-2
4.715E-1	5.818E-2
4.676E-1	6.465E-2
4.665E-1	6.624E-2
4.666E-1	6.608E-2
4.683E-1	6.289E-2
4.695E-1	6.135E-2
4.701E-1	6.038E-2
4.722E-1	5.666E-2
4.750E-1	5.373E-2
4.750E-1	5.371E-2
4.781E-1	5.187E-2
4.794E-1	5.117E-2
4.805E-1	5.088E-2
4.805E-1	5.088E-2
4.839E-1	4.982E-2
4.852E-1	4.948E-2
4.858E-1	4.928E-2
4.872E-1	4.898E-2
4.878E-1	4.881E-2
4.886E-1	4.869E-2
4.892E-1	4.850E-2
4.907E-1	4.823E-2
4.912E-1	4.816E-2
4.921E-1	4.794E-2
4.939E-1	4.765E-2
4.944E-1	4.757E-2
4.958E-1	4.734E-2
4.958E-1	4.732E-2
4.967E-1	4.717E-2
4.983E-1	4.695E-2
5.003E-1	4.666E-2
5.014E-1	4.655E-2
5.015E-1	4.654E-2
5.035E-1	4.625E-2
5.041E-1	4.620E-2
5.050E-1	4.607E-2
5.061E-1	4.598E-2
5.067E-1	4.589E-2
5.093E-1	4.560E-2
5.097E-1	4.556E-2
5.100E-1	4.552E-2
5.111E-1	4.543E-2
5.118E-1	4.534E-2
5.132E-1	4.518E-2
5.150E-1	4.500E-2
5.163E-1	4.488E-2
5.171E-1	4.479E-2
5.185E-1	4.467E-2
5.189E-1	4.463E-2
5.189E-1	4.463E-2
5.189E-1	4.461E-2
5.200E-1	4.450E-2
5.204E-1	4.444E-2
5.216E-1	4.431E-2
5.220E-1	4.427E-2
5.239E-1	4.402E-2
5.240E-1	4.401E-2
5.261E-1	4.366E-2
5.274E-1	4.350E-2
5.287E-1	4.336E-2
5.292E-1	4.332E-2
5.305E-1	4.317E-2
5.318E-1	4.305E-2
5.318E-1	4.305E-2
5.492E-1	4.067E-2
5.493E-1	4.067E-2
5.506E-1	4.051E-2
5.512E-1	4.031E-2
5.525E-1	3.991E-2
5.533E-1	3.907E-2
5.551E-1	3.658E-2
5.552E-1	3.644E-2
5.665E-1	2.303E-2
5.751E-1	1.682E-2
5.763E-1	1.674E-2
5.763E-1	1.679E-2
5.752E-1	1.679E-2
5.751E-1	1.681E-2
5.751E-1	1.681E-2
5.745E-1	1.684E-2
5.647E-1	2.415E-2
5.631E-1	2.599E-2
5.617E-1	2.782E-2
5.607E-1	2.873E-2
5.598E-1	2.975E-2
5.579E-1	3.274E-2
5.562E-1	3.485E-2
5.552E-1	3.620E-2
5.552E-1	3.620E-2
5.552E-1	3.632E-2
5.689E-1	1.919E-2
5.690E-1	1.901E-2
5.706E-1	1.773E-2
5.726E-1	1.696E-2
5.737E-1	1.684E-2
5.827E-1	1.673E-2
5.833E-1	1.674E-2
5.850E-1	1.677E-2
5.864E-1	1.680E-2
5.890E-1	1.685E-2
5.902E-1	1.688E-2
