V (V)	I (A)
2.698E-1	4.294E-3
2.707E-1	4.311E-3
2.720E-1	4.328E-3
2.722E-1	4.330E-3
2.726E-1	4.338E-3
2.726E-1	4.338E-3
2.740E-1	4.362E-3
2.752E-1	4.379E-3
2.754E-1	4.383E-3
2.767E-1	4.406E-3
2.776E-1	4.418E-3
2.779E-1	4.425E-3
2.789E-1	4.436E-3
2.894E-1	4.634E-3
2.959E-1	4.709E-3
2.972E-1	4.729E-3
2.977E-1	4.734E-3
2.977E-1	4.734E-3
3.144E-1	5.001E-3
3.147E-1	5.007E-3
3.175E-1	5.054E-3
3.190E-1	5.074E-3
3.194E-1	5.080E-3
3.194E-1	5.082E-3
3.207E-1	5.100E-3
3.210E-1	5.108E-3
3.220E-1	5.120E-3
3.220E-1	5.121E-3
3.220E-1	5.121E-3
3.229E-1	5.139E-3
3.239E-1	5.151E-3
3.253E-1	5.178E-3
3.258E-1	5.183E-3
3.271E-1	5.204E-3
3.277E-1	5.210E-3
3.281E-1	5.220E-3
3.305E-1	5.258E-3
3.306E-1	5.258E-3
3.319E-1	5.278E-3
3.323E-1	5.286E-3
3.326E-1	5.317E-3
3.487E-1	5.546E-3
3.489E-1	5.548E-3
3.494E-1	5.556E-3
3.511E-1	5.586E-3
3.525E-1	5.607E-3
3.545E-1	5.636E-3
3.558E-1	5.660E-3
3.576E-1	5.686E-3
3.592E-1	5.715E-3
3.613E-1	5.745E-3
3.617E-1	5.754E-3
3.633E-1	5.780E-3
3.646E-1	5.802E-3
3.659E-1	5.820E-3
3.670E-1	5.839E-3
3.693E-1	5.874E-3
3.698E-1	5.882E-3
3.709E-1	5.900E-3
3.720E-1	5.920E-3
3.735E-1	5.943E-3
3.738E-1	5.945E-3
3.746E-1	5.960E-3
3.759E-1	5.978E-3
3.763E-1	5.984E-3
3.773E-1	6.006E-3
3.796E-1	6.078E-3
3.947E-1	6.279E-3
3.957E-1	6.291E-3
4.112E-1	6.538E-3
4.112E-1	6.539E-3
4.114E-1	6.546E-3
4.127E-1	6.561E-3
4.139E-1	6.585E-3
4.154E-1	6.610E-3
4.163E-1	6.620E-3
4.163E-1	6.619E-3
4.173E-1	6.639E-3
4.181E-1	6.651E-3
4.196E-1	6.673E-3
4.206E-1	6.688E-3
4.309E-1	6.885E-3
4.364E-1	6.941E-3
4.375E-1	6.956E-3
4.378E-1	6.962E-3
4.394E-1	6.989E-3
4.407E-1	7.007E-3
4.412E-1	7.016E-3
4.412E-1	7.016E-3
4.426E-1	7.039E-3
4.438E-1	7.060E-3
4.444E-1	7.065E-3
4.445E-1	7.072E-3
4.473E-1	7.116E-3
4.481E-1	7.129E-3
4.492E-1	7.144E-3
4.492E-1	7.144E-3
4.510E-1	7.172E-3
4.511E-1	7.174E-3
4.516E-1	7.184E-3
4.527E-1	7.199E-3
4.530E-1	7.204E-3
4.541E-1	7.224E-3
4.543E-1	7.224E-3
4.594E-1	7.333E-3
4.699E-1	7.472E-3
4.699E-1	7.471E-3
4.701E-1	7.478E-3
4.711E-1	7.491E-3
4.711E-1	7.491E-3
4.730E-1	7.522E-3
4.730E-1	7.522E-3
4.743E-1	7.541E-3
4.764E-1	7.580E-3
4.774E-1	7.592E-3
4.775E-1	7.590E-3
4.778E-1	7.596E-3
4.791E-1	7.619E-3
4.795E-1	7.623E-3
4.804E-1	7.642E-3
4.812E-1	7.649E-3
4.825E-1	7.673E-3
4.830E-1	7.681E-3
4.837E-1	7.694E-3
4.843E-1	7.701E-3
4.843E-1	7.702E-3
4.854E-1	7.722E-3
4.892E-1	7.779E-3
4.902E-1	7.792E-3
4.935E-1	7.852E-3
5.126E-1	8.153E-3
5.142E-1	8.178E-3
5.155E-1	8.202E-3
5.224E-1	8.309E-3
5.270E-1	8.382E-3
5.279E-1	8.394E-3
5.279E-1	8.394E-3
5.333E-1	8.487E-3
5.345E-1	8.505E-3
5.363E-1	8.532E-3
5.367E-1	8.537E-3
5.380E-1	8.561E-3
5.406E-1	8.602E-3
5.411E-1	8.608E-3
5.423E-1	8.627E-3
5.472E-1	8.707E-3
5.479E-1	8.715E-3
5.479E-1	8.718E-3
5.494E-1	8.740E-3
5.498E-1	8.746E-3
5.518E-1	8.783E-3
5.533E-1	8.803E-3
5.542E-1	8.817E-3
5.547E-1	8.826E-3
5.561E-1	8.848E-3
5.561E-1	8.847E-3
5.565E-1	8.855E-3
5.575E-1	8.872E-3
5.579E-1	8.878E-3
5.592E-1	8.897E-3
5.592E-1	8.897E-3
5.594E-1	8.901E-3
5.605E-1	8.921E-3
5.612E-1	8.928E-3
5.630E-1	8.956E-3
5.636E-1	8.969E-3
5.647E-1	8.984E-3
5.649E-1	8.986E-3
5.830E-1	9.275E-3
5.843E-1	9.294E-3
5.849E-1	9.305E-3
5.849E-1	9.305E-3
5.849E-1	9.305E-3
5.854E-1	9.314E-3
5.862E-1	9.326E-3
5.979E-1	9.563E-3
6.030E-1	9.594E-3
6.030E-1	9.594E-3
6.035E-1	9.603E-3
6.056E-1	9.639E-3
6.062E-1	9.647E-3
6.085E-1	9.684E-3
6.092E-1	9.698E-3
6.098E-1	9.704E-3
6.109E-1	9.724E-3
6.117E-1	9.733E-3
6.117E-1	9.737E-3
6.129E-1	9.754E-3
6.161E-1	9.805E-3
6.161E-1	9.805E-3
6.161E-1	9.804E-3
6.166E-1	9.815E-3
6.178E-1	9.834E-3
6.180E-1	9.837E-3
6.185E-1	9.844E-3
6.194E-1	9.862E-3
6.198E-1	9.868E-3
6.213E-1	9.889E-3
6.268E-1	9.978E-3
6.279E-1	9.993E-3
6.307E-1	1.004E-2
6.311E-1	1.005E-2
6.317E-1	1.006E-2
6.317E-1	1.006E-2
6.329E-1	1.008E-2
