C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
41  |     83.06|2E 1257.1+2813                       |X  |12 59 36.5 +27 57 10                   |~           |     ~   |~ ~ ~                        |    ~     ~            
42  |     85.77|GMP 3424                             |GiC|12 59 29.3252498928 +27 56 32.011165392|0.018723    |19.713   |dE D 2007ApJS..169..225E     |    ~     ~            
43  |     86.29|[MGH2010] J125937.20+275720.9        |G? |12 59 37.20 +27 57 20.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
44  |     86.91|[MGH2010] J125937.72+275802.4        |G? |12 59 37.72 +27 58 02.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
45  |     87.06|[MGH2010] J125937.45+275727.7        |G? |12 59 37.45 +27 57 27.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
46  |     90.61|CAIRNS J125930.50+275624.0           |GiC|12 59 30.50 +27 56 24.0                |0.00041     |     ~   |~ ~ ~                        |    ~     ~            
47  |     90.68|[ASD2005] 3                          |?  |12 59 37.9 +27 58 12                   |~           |15.52    |~ ~ ~                        |    ~     ~            
48  |     91.11|[MGH2010] J125936.54+275851.4        |G? |12 59 36.54 +27 58 51.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
49  |     91.96|[CTM2010] 190183                     |G  |12 59 30.6995 +27 59 25.881            |0.0254      |     ~   |~ ~ ~                        |    ~     ~            
50  |     93.95|[MGH2010] J125937.99+275820.8        |G? |12 59 37.99 +27 58 20.8                |~           |     ~   |~ ~ ~                        |    ~     ~            
51  |     94.19|[MGH2010] J125938.19+275737.7        |G? |12 59 38.19 +27 57 37.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
52  |     94.26|[EDG2007] 623                        |G  |12 59 37.05 +27 58 47.6                |0.38417     |21.788   |Sp D 2010ApJ...723..251C     |    ~     ~            
53  |     94.44|[CTM2010] 190565                     |G  |12 59 32.75 +27 59 26.3                |~           |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
54  |     96.15|[ASD2005] 1                          |GiC|12 59 38.097 +27 58 23.67              |~           |     ~   |~ ~ ~                        |    ~     ~            
55  |     96.34|[MGH2010] J125937.68+275837.6        |G? |12 59 37.68 +27 58 37.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
56  |     97.51|[MGH2010] J125938.44+275737.4        |G? |12 59 38.44 +27 57 37.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
57  |    100.39|[EDG2007] 144                        |PM*|12 59 36.6216958008 +27 59 04.145273556|~           |22.076   |~ ~ ~                        |    ~     ~            
58  |    101.99|GMP 3319                             |G  |12 59 36.376 +27 56 38.79              |~           |21.84    |~ ~ ~                        |    ~     ~            
59  |    102.59|[MGH2010] J125938.51+275827.6        |G? |12 59 38.51 +27 58 27.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
60  |    103.04|[MGH2010] J125936.59+275908.3        |G? |12 59 36.59 +27 59 08.3                |~           |     ~   |~ ~ ~                        |    ~     ~            
61  |    103.99|TYC 1995-1839-1                      |PM*|12 59 28.8676843104 +27 56 14.817571980|0.000164    |13.65    |~ ~ ~                        |    ~     ~            
62  |    104.81|[CTM2010] 1039715                    |G  |12 59 38.9392 +27 57 33.092            |0.02188     |     ~   |~ ~ ~                        |    ~     ~            
63  |    105.63|[EDG2007] 459                        |GiC|12 59 26.3751230664 +27 59 18.345486804|0.3810      |20.051   |~ ~ ~                        |    ~     ~            
64  |    106.12|CAIRNS J125933.66+275613.2           |GiC|12 59 33.66 +27 56 13.2                |0.2405      |     ~   |~ ~ ~                        |    ~     ~            
65  |    106.59|CAIRNS J125923.21+275807.8           |GiC|12 59 23.21 +27 58 07.8                |0.24940     |     ~   |~ ~ ~                        |    ~     ~            
66  |    106.67|[MGH2010] J125939.22+275746.5        |G? |12 59 39.22 +27 57 46.5                |~           |     ~   |~ ~ ~                        |    ~     ~            
67  |    107.17|GMP 3466                             |G  |12 59 26.7 +27 56 25                   |~           |     ~   |~ ~ ~                        |    ~     ~            
68  |    107.32|[EDG2007] 413                        |*  |12 59 25.2797969760 +27 59 07.547302140|~           |17.981   |~ ~ ~                        |    ~     ~            
69  |    107.85|[CTM2010] 194749                     |G  |12 59 38.1 +27 56 56                   |0.02044     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
