C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
839 |    553.87|[EDG2007] 522                        |*  |13 00 02.77 +28 03 57.3                |~           |     ~   |~ ~ ~                        |    ~     ~            
840 |    553.90|[EDG2007] 584                        |G  |12 59 17.77 +27 49 09.6                |~           |21.56    |~ ~ ~                        |    ~     ~            
841 |    554.74|[EDG2007] 406                        |G  |13 00 04.05 +28 03 38.2                |~           |20.856   |~ ~ ~                        |    ~     ~            
842 |    555.31|[EDG2007] 515                        |*  |12 59 11.0612638176 +27 49 47.144446536|~           |21.893   |~ ~ ~                        |    ~     ~            
843 |    555.34|[APD2000] J130004.2+280339           |GrG|13 00 04.0 +28 03 40                   |~           |25.06    |~ ~ ~                        |    ~     ~            
844 |    555.64|CAIRNS J125850.80+280024.9           |GiC|12 58 50.821 +28 00 25.17              |0.02490     |18.875   |~ ~ ~                        |    ~     ~            
845 |    555.66|[EDG2007] 638                        |G  |12 59 33.16 +27 48 39.1                |~           |21.537   |~ ~ ~                        |    ~     ~            
846 |    556.55|[CTM2010] 242857                     |G  |13 00 11.6070 +27 55 22.791            |0.02018     |     ~   |~ ~ ~                        |    ~     ~            
847 |    556.81|[EDG2007] 438                        |*  |13 00 10.7594707032 +28 01 02.145484164|~           |17.465   |~ ~ ~                        |    ~     ~            
848 |    557.76|[EDG2007] 655                        |G  |12 58 59.41 +28 04 00.2                |~           |20.759   |~ ~ ~                        |    ~     ~            
849 |    557.79|[CTM2010] 100940                     |G  |13 00 09.79 +28 01 37.2                |0.41987     |     ~   |E D 2010ApJ...723..251C      |    ~     ~            
850 |    557.82|CAIRNS J125951.54+274945.9           |GiC|12 59 51.54 +27 49 45.9                |0.02660     |     ~   |~ ~ ~                        |    ~     ~            
851 |    558.00|[YKK2016] 409                        |LSB|13 00 05.702 +28 03 14.26              |~           |21.16    |~ ~ ~                        |0.133 0.133            
852 |    558.11|[EDG2007] 599                        |*  |12 59 52.8430513584 +27 49 55.516021932|~           |18.127   |~ ~ ~                        |    ~     ~            
853 |    558.73|[EDG2007] 713                        |G  |13 00 12.79 +27 59 26.3                |~           |     ~   |~ ~ ~                        |    ~     ~            
854 |    559.13|GMP 3227                             |G  |12 59 41.9 +28 06 55                   |~           |     ~   |~ ~ ~                        |    ~     ~            
855 |    562.21|2XMM J130001.5+275121                |AG?|13 00 01.483 +27 51 20.65              |~           |     ~   |~ ~ ~                        |    ~     ~            
856 |    562.53|SDSS J130009.70+280151.1             |G  |13 00 09.708 +28 01 51.17              |~           |     ~   |~ ~ ~                        |    ~     ~            
857 |    563.26|[EDG2007] 669                        |G  |12 58 54.61 +27 53 07.4                |~           |21.199   |~ ~ ~                        |    ~     ~            
858 |    563.83|[EDG2007] 475                        |G  |12 58 50.41 +28 00 35.8                |~           |19.326   |~ ~ ~                        |    ~     ~            
859 |    564.25|[CG99] SA1656-62                     |G  |13 00 07.0 +27 52 49                   |~           |24.05    |~ ~ ~                        |    ~     ~            
860 |    564.86|[CHM2007] LDC 926                    |GrG|12 58 53.8 +27 53 23                   |0.023089    |     ~   |~ ~ ~                        |218   78.48            
861 |    565.71|GMP 3167                             |G  |12 59 46.999 +27 49 08.70              |~           |19.85    |~ ~ ~                        |    ~     ~            
862 |    565.98|[EDG2007] 214                        |*  |12 58 55.8419758728 +27 52 36.589996236|~           |18.647   |~ ~ ~                        |    ~     ~            
863 |    566.17|[VAM2015] DF18                       |LSB|12 59 09.3 +27 49 48                   |~           |22.21    |~ ~ ~                        |0.212 0.212            
864 |    566.89|GMP 3401                             |G  |12 59 30.7 +28 07 21                   |~           |     ~   |~ ~ ~                        |    ~     ~            
865 |    567.05|[EDG2007] 508                        |G  |12 58 48.39 +27 57 50.4                |~           |20.49    |~ ~ ~                        |    ~     ~            
866 |    567.10|GMP 3338                             |G  |12 59 35.0 +28 07 19                   |~           |     ~   |~ ~ ~                        |    ~     ~            
867 |    568.51|GMP 2877                             |GiC|13 00 11.410 +27 54 36.37              |~           |19.88    |~ ~ ~                        |    ~     ~            
868 |    568.98|[EDG2007] 344                        |GiC|12 59 04.59 +27 50 27.6                |~           |20.671   |~ ~ ~                        |    ~     ~            
869 |    569.65|[EDG2007] 606                        |G  |12 59 57.25 +27 50 21.2                |~           |23.036   |~ ~ ~                        |    ~     ~            
870 |    569.95|CAIRNS J125929.29+274824.3           |GiC|12 59 29.21 +27 48 24.8                |0.022382    |19.194   |~ ~ ~                        |    ~     ~            
871 |    569.95|SDSS J130006.91+275236.8             |G  |13 00 06.91488 +27 52 36.8983          |~           |     ~   |~ ~ ~                        |    ~     ~            
872 |    570.37|AT 2023hrq                           |SN?|13 00 06.993 +27 52 37.70              |~           |     ~   |~ ~ ~                        |    ~     ~            
873 |    570.56|[EDG2007] 394                        |*  |12 59 59.5975791744 +27 50 45.505337172|~           |18.098   |~ ~ ~                        |    ~     ~            
874 |    571.12|[EDG2007] 240                        |*  |13 00 05.3963538312 +27 52 06.855524364|~           |19.646   |~ ~ ~                        |    ~     ~            
875 |    571.50|CAIRNS J125906.39+280540.1           |GiC|12 59 06.23 +28 05 40.4                |0.15860     |19.588   |~ ~ ~                        |    ~     ~            
876 |    571.75|CAIRNS J125851.34+275414.1           |GiC|12 58 51.31 +27 54 16.0                |0.159173    |19.497   |~ ~ ~                        |    ~     ~            
877 |    571.87|2MASS J12595554+2805464              |NIR|12 59 55.5293202672 +28 05 46.568693364|~           |     ~   |~ ~ ~                        |    ~     ~            
878 |    572.10|CAIRNS J125849.76+275511.3           |GiC|12 58 49.76 +27 55 13.2                |0.06060     |20.249   |~ ~ ~                        |    ~     ~            
879 |    572.55|SN 2008dx                            |SN*|13 00 14.31 +27 57 16.4                |0.0250      |     ~   |~ ~ ~                        |    ~     ~            
880 |    573.04|[EDG2007] 661                        |*  |13 00 12.5281146456 +28 00 43.140947508|~           |20.435   |~ ~ ~                        |    ~     ~            
881 |    573.06|[ZS2020] cCGs-5173                   |CGG|12 58 49.5 +28 00 26                   |0.02363     |     ~   |~ ~ ~                        |1.504 1.504            
882 |    573.68|GMP 3239                             |G  |12 59 40.979 +28 07 13.00              |~           |24.33    |~ ~ ~                        |    ~     ~            
883 |    574.19|GMP 2979                             |G  |13 00 04.1 +28 04 08                   |~           |20.99    |~ ~ ~                        |0.175 0.175            
884 |    574.59|SN 2019be                            |SN*|13 00 14.50 +27 57 24.4                |0.02        |     ~   |~ ~ ~                        |    ~     ~            
885 |    576.42|[EDG2007] 142                        |*  |13 00 12.4502900784 +28 00 57.418245504|~           |16.032   |~ ~ ~                        |    ~     ~            
886 |    576.71|[EDG2007] 722                        |G  |13 00 12.27 +27 54 43.8                |~           |21.21    |~ ~ ~                        |    ~     ~            
887 |    577.10|GMP 3409                             |G  |12 59 29.9 +28 07 31                   |~           |     ~   |~ ~ ~                        |    ~     ~            
888 |    577.15|GMP 3016                             |GiC|13 00 01.03440 +28 04 54.7752          |0.0259      |     ~   |Sm D 2008A&A...490..923M     |    ~     ~            
889 |    577.43|[YKK2016] 379                        |LSB|12 59 46.062 +28 06 56.97              |~           |     ~   |~ ~ ~                        |0.088 0.088            
890 |    578.23|[EDG2007] 621                        |G  |12 59 40.13 +27 48 28.2                |~           |22.051   |~ ~ ~                        |    ~     ~            
891 |    579.10|[CTM2010] 100600                     |G  |13 00 09.01 +28 02 44.8                |~           |     ~   |Sp D 2010ApJ...723..251C     |    ~     ~            
892 |    580.91|CAIRNS J125853.01+275309.4           |GiC|12 58 52.96 +27 53 10.0                |0.10750     |19.395   |~ ~ ~                        |    ~     ~            
893 |    582.28|[CG99] SA1656-60                     |G  |12 59 52.5 +27 49 25                   |~           |23.05    |~ ~ ~                        |    ~     ~            
894 |    582.40|[CTM2010] 101905                     |G  |13 00 13.85 +28 00 15.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
895 |    582.87|SDSS J125935.95+274814.9             |GiC|12 59 35.88 +27 48 14.6                |0.02110     |19.297   |~ ~ ~                        |    ~     ~            
896 |    583.08|[EDG2007] 78                         |*  |12 58 48.0954056568 +27 59 52.964203236|~           |15.254   |~ ~ ~                        |    ~     ~            
897 |    583.87|[EDG2007] 431                        |GiC|12 59 33.67 +27 48 11.2                |~           |19.285   |~ ~ ~                        |    ~     ~            
898 |    583.92|GMP 3247                             |G  |12 59 40.7 +27 48 24                   |~           |     ~   |~ ~ ~                        |    ~     ~            
899 |    584.28|[EDG2007] 708                        |*  |12 59 13.57 +27 48 58.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
900 |    584.37|[APS2006] 22156                      |GiC|12 59 09.467 +27 49 25.66              |0.0169      |24.42    |~ ~ ~                        |    ~     ~            
901 |    584.41|[YKK2016] 376                        |LSB|12 59 37.231 +27 48 15.25              |~           |21.59    |~ ~ ~                        |0.167 0.167            
902 |    584.57|GMP 3549                             |G  |12 59 20.4 +28 07 21                   |~           |     ~   |~ ~ ~                        |    ~     ~            
903 |    584.99|GMP 3854                             |G  |12 58 59.3 +28 04 39                   |~           |20.08    |~ ~ ~                        |0.445 0.445            
904 |    587.43|2MASX J12584935+2754388              |GiC|12 58 49.3854697704 +27 54 38.745239580|0.157555    |19.223   |E4 D 2008A&A...490..923M     |0.127 0.127            
905 |    587.96|[EDG2007] 717                        |G  |13 00 12.07 +27 54 05.7                |~           |24.281   |~ ~ ~                        |    ~     ~            
906 |    588.25|[EDG2007] 390                        |GiC|12 59 46.33 +27 48 41.2                |~           |19.262   |~ ~ ~                        |    ~     ~            
907 |    588.57|GMP 3446                             |G  |12 59 27.8 +28 07 41                   |~           |     ~   |~ ~ ~                        |    ~     ~            
908 |    589.19|[EDG2007] 534                        |G  |12 58 51.36 +28 02 16.6                |~           |20.25    |~ ~ ~                        |    ~     ~            
909 |    589.47|[CTM2010] 101935                     |G  |13 00 14.2 +28 00 26                   |0.02718     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
910 |    590.36|[YKK2016] 360                        |LSB|12 59 19.358 +28 07 23.35              |~           |     ~   |~ ~ ~                        |0.070 0.070            
911 |    590.59|US 110                               |*  |12 59 53.2064218824 +28 06 27.792770652|~           |17.4     |~ ~ ~                        |    ~     ~            
912 |    591.73|[EDG2007] 273                        |G  |12 59 11.78 +27 49 01.3                |~           |19.57    |~ ~ ~                        |    ~     ~            
913 |    593.35|GMP 3333                             |G  |12 59 35.3 +28 07 45                   |~           |     ~   |~ ~ ~                        |    ~     ~            
914 |    594.32|[EDG2007] 114                        |*  |13 00 10.6004523648 +28 02 38.377644468|~           |18.021   |~ ~ ~                        |    ~     ~            
915 |    595.11|[YKK2016] 340                        |LSB|12 59 01.926 +27 50 22.85              |~           |22.97    |~ ~ ~                        |0.130 0.130            
916 |    595.31|GSC 01995-01980                      |*  |12 58 56.8396450752 +27 51 30.621518244|-0.000008   |13.472   |~ ~ ~                        |    ~     ~            
917 |    595.44|[EDG2007] 540                        |G  |12 59 40.34 +27 48 11.2                |~           |21.023   |~ ~ ~                        |    ~     ~            
918 |    596.26|GMP 4020                             |G  |12 58 46.4 +27 58 53                   |~           |     ~   |~ ~ ~                        |    ~     ~            
919 |    597.02|GMP 3673                             |G  |12 59 12.2485843992 +27 48 52.508326320|~           |21.222   |~ ~ ~                        |    ~     ~            
920 |    597.58|[YKK2016] 397                        |LSB|12 59 56.672 +27 49 41.22              |~           |21.96    |~ ~ ~                        |0.068 0.068            
921 |    598.17|[EDG2007] 414                        |PM*|12 59 14.6433292992 +27 48 37.655758908|~           |20.522   |~ ~ ~                        |    ~     ~            
922 |    598.33|[YKK2016] 356                        |LSB|12 59 12.624 +27 48 48.79              |~           |21.34    |~ ~ ~                        |0.340 0.340            
923 |    598.73|[YKK2016] 425                        |LSB|13 00 14.829 +28 00 30.17              |~           |21.87    |~ ~ ~                        |0.127 0.127            
924 |    598.98|GMP 3633                             |GiC|12 59 15.622 +27 48 31.85              |0.000417    |     ~   |dS0un C 2015ApJS..217...27A  |    ~     ~            
925 |    599.10|[EDG2007] 356                        |G  |12 59 06.4514884272 +27 49 32.788650252|~           |20.102   |~ ~ ~                        |    ~     ~            
926 |    599.45|[YKK2016] 361                        |LSB|12 59 19.962 +27 48 13.48              |~           |23.65    |~ ~ ~                        |0.093 0.093            
927 |    599.46|2XMM J125945.1+274824                |X  |12 59 45.0848464896 +27 48 23.698339776|~           |     ~   |~ ~ ~                        |    ~     ~            
928 |    600.61|NGC 4894                             |AG?|13 00 16.5193713624 +27 58 03.082120068|0.01547     |16.106   |S0... D 2008A&A...490..923M  |0.437 0.192            
929 |    601.08|SDSS J125958.74+280551.8             |GiC|12 59 58.73904 +28 05 51.8927          |0.010000    |     ~   |~ ~ ~                        |    ~     ~            
930 |    601.16|GMP 3998                             |G  |12 58 48.59 +27 54 27.5                |~           |21.346   |~ ~ ~                        |    ~     ~            
931 |    601.63|[RB67] 137                           |GiC|12 59 22.43 +28 07 44.5                |0.2159      |     ~   |~ ~ ~                        |    ~     ~            
932 |    601.89|LEDA 1824079                         |GiC|12 58 48.154 +28 01 07.42              |0.02362     |18.49    |~ ~ ~                        | 0.26  0.18            
933 |    602.17|GMP 2817                             |G  |13 00 16.351 +27 59 02.60              |~           |20.89    |~ ~ ~                        |    ~     ~            
934 |    602.18|[CTM2010] 160141                     |G  |13 00 16.5769 +27 58 26.923            |0.02293     |     ~   |~ ~ ~                        |    ~     ~            
935 |    603.27|[CTM2010] 230475                     |G  |13 00 16.280 +27 56 30.48              |0.1655      |     ~   |Sp D 2010ApJ...723..251C     |    ~     ~            
936 |    603.37|CAIRNS J125946.19+274824.5           |GiC|12 59 46.19 +27 48 24.5                |0.127154    |     ~   |~ ~ ~                        |    ~     ~            
937 |    603.37|[EDG2007] 327                        |*  |13 00 16.7068586592 +27 57 34.588701828|~           |20.089   |~ ~ ~                        |    ~     ~            
938 |    603.62|[EDG2007] 69                         |*  |12 58 59.1667582032 +28 05 03.758439876|~           |15       |~ ~ ~                        |    ~     ~            
939 |    604.29|GMP 2858                             |G  |13 00 13.1 +28 01 53                   |~           |     ~   |~ ~ ~                        |    ~     ~            
940 |    604.89|[YKK2016] 415                        |LSB|13 00 13.527 +27 54 08.11              |~           |23.32    |~ ~ ~                        |0.095 0.095            
941 |    605.11|[APD2000] J125956.5+280618           |G  |12 59 56.5 +28 06 18                   |~           |     ~   |~ ~ ~                        |    ~     ~            
942 |    605.66|GMP 3790                             |G  |12 59 04.102 +28 06 02.20              |~           |23.01    |~ ~ ~                        |    ~     ~            
943 |    606.49|[YKK2016] 322                        |LSB|12 58 49.502 +27 53 43.94              |~           |22.83    |~ ~ ~                        |0.098 0.098            
944 |    607.36|GMP 2811                             |G  |13 00 16.673 +27 56 38.67              |0.01790     |20.58    |dE D 2010ApJ...723..251C     |    ~     ~            
945 |    608.65|GMP 3422                             |G  |12 59 29.161 +28 08 02.20              |~           |24.03    |~ ~ ~                        |    ~     ~            
946 |    610.49|[EDG2007] 559                        |G  |12 58 47.5874829000 +27 54 37.092940956|~           |21.01    |~ ~ ~                        |    ~     ~            
947 |    610.88|[YKK2016] 421                        |LSB|13 00 14.404 +28 01 27.62              |~           |23.61    |~ ~ ~                        |0.147 0.147            
948 |    614.23|[HVH2010] Comai J130014.088+280147.53|G  |13 00 14.0880 +28 01 47.532            |~           |     ~   |~ ~ ~                        |    ~     ~            
949 |    614.35|[K94] 125744.29+280808.1             |Rad|13 00 09.01 +27 51 59.0                |~           |     ~   |~ ~ ~                        |    ~     ~            
950 |    614.73|CAIRNS J130005.47+280448.7           |GiC|13 00 05.47 +28 04 48.7                |0.09450     |     ~   |~ ~ ~                        |    ~     ~            
951 |    615.00|[CTM2010] 161002                     |G  |13 00 17.60 +27 58 07.6                |0.21317     |     ~   |E D 2010ApJ...723..251C      |    ~     ~            
952 |    615.33|[EDG2007] 658                        |*  |12 59 58.1866366968 +27 49 33.604512708|~           |20.39    |~ ~ ~                        |    ~     ~            
953 |    615.45|[EDG2007] 730                        |G  |12 59 26.04 +27 47 42.5                |~           |22.615   |~ ~ ~                        |    ~     ~            
954 |    615.49|[CTM2010] 160317                     |?  |13 00 17.4316 +27 58 53.842            |~           |     ~   |~ ~ ~                        |    ~     ~            
955 |    615.57|Mrk 60                               |AGN|13 00 09.1410758256 +27 51 59.343513912|0.01773     |16.39    |SBa D 2008A&A...490..923M    |0.230 0.198            
956 |    615.69|[CG99] SA1656-39                     |G  |12 59 04.0 +27 49 35                   |~           |23.27    |~ ~ ~                        |    ~     ~            
957 |    615.73|NGC 4898                             |IG |13 00 17.6 +27 57 22                   |0.02303     |14.7     |E D ~                        | 0.66  0.32            
958 |    616.12|[EDG2007] 497                        |G  |12 59 55.92 +27 49 12.5                |~           |20.237   |~ ~ ~                        |    ~     ~            
959 |    616.20|UCAC4 591-051095                     |SB*|12 59 22.7842870413 +28 08 00.220332651|-0.000044   |13.708   |~ ~ ~                        |    ~     ~            
960 |    616.20|[CTM2010] 230804                     |G  |13 00 14.14 +27 53 58.1                |0.68281     |     ~   |S0 D 2010ApJ...723..251C     |    ~     ~            
961 |    616.53|[EDG2007] 610                        |G  |13 00 14.69 +28 01 33.6                |~           |20.772   |~ ~ ~                        |    ~     ~            
962 |    616.95|SDSS J130017.67+275718.9             |GiC|13 00 17.6793071808 +27 57 18.945906156|0.02291     |15.0     |S0: D 2008A&A...490..923M    |0.527 0.432            
963 |    617.55|GMP 2818                             |G  |13 00 16.358 +27 55 22.11              |0.01556     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
964 |    617.88|[CG99] SA1656-63                     |G  |13 00 07.7 +27 51 30                   |~           |24.86    |~ ~ ~                        |    ~     ~            
965 |    617.97|SDSS J130013.49+280214.9             |G  |13 00 13.490 +28 02 14.98              |0.01777     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
966 |    618.67|[APD2000] J125956.9+280631           |GiC|12 59 56.86 +28 06 31.1                |0.19000     |     ~   |~ ~ ~                        |    ~     ~            
967 |    619.77|[CTM2010] 230603                     |?  |13 00 15.0806 +27 54 20.131            |~           |     ~   |~ ~ ~                        |    ~     ~            
968 |    620.53|2MASS J13001763+2759145              |AG?|13 00 17.6321119536 +27 59 15.098162028|0.0199      |19.10    |dE D 2007ApJS..169..225E     |    ~     ~            
969 |    620.89|[YKK2016] 394                        |LSB|12 59 57.633 +27 49 21.69              |~           |21.77    |~ ~ ~                        |0.092 0.092            
970 |    621.16|[EDG2007] 282                        |*  |12 59 22.8556238280 +27 47 42.896106960|~           |18.277   |~ ~ ~                        |    ~     ~            
971 |    621.31|[EDG2007] 285                        |GiC|12 58 53.35 +28 04 01.5                |~           |19.255   |S... D 2008A&A...490..923M   |    ~     ~            
972 |    621.41|[EDG2007] 560                        |G  |12 59 03.88 +27 49 29.1                |~           |20.80    |~ ~ ~                        |    ~     ~            
973 |    621.86|GMP 2913                             |GiC|13 00 08.8086368856 +27 51 42.571829988|0.0174      |19.175   |S... D 2008A&A...490..923M   |    ~     ~            
974 |    622.15|SDSS J130017.61+275927.3             |G  |13 00 17.62 +27 59 27.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
975 |    622.24|[D80] ACO 1656 120                   |GiC|13 00 18.0983806416 +27 57 23.732971884|0.02124     |15.284   |SB0: D 2008A&A...490..923M   |1.076 1.076            
976 |    622.42|[CTM2010] 230649                     |G  |13 00 15.5274 +27 54 28.790            |0.52540     |     ~   |~ ~ ~                        |    ~     ~            
977 |    622.51|SDSS J130009.24+280359.6             |LSB|13 00 09.241 +28 03 59.68              |~           |22.32    |~ ~ ~                        |0.155 0.155            
978 |    623.56|[APD2000] J130005.9+280458           |G  |13 00 05.8 +28 04 57                   |~           |     ~   |~ ~ ~                        |    ~     ~            
979 |    623.65|[EDG2007] 358                        |G  |12 58 47.36 +27 54 07.1                |~           |20.352   |~ ~ ~                        |    ~     ~            
980 |    624.41|GMP 2789                             |G  |13 00 18.3 +27 58 18                   |0.01651     |22.44    |dE D 2010ApJ...723..251C     |    ~     ~            
981 |    625.04|2MASX J12593064+2747288              |GiC|12 59 30.6487772544 +27 47 29.144981328|0.02591     |17.083   |E1 D 2008A&A...490..923M     |0.203 0.175            
982 |    625.65|GMP 3884                             |G  |12 58 57.0 +28 05 06                   |~           |     ~   |~ ~ ~                        |    ~     ~            
983 |    626.48|[CTM2010] 230751                     |G  |13 00 16.2 +27 54 44                   |~           |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
984 |    628.04|2XMM J125932.7+280822                |X  |12 59 32.749 +28 08 21.85              |~           |     ~   |~ ~ ~                        |    ~     ~            
985 |    628.04|[CTM2010] 160540                     |G  |13 00 18.5193 +27 58 29.988            |0.0234      |     ~   |~ ~ ~                        |    ~     ~            
986 |    628.37|[EDG2007] 627                        |G  |12 59 46.3307531640 +27 47 58.712710344|~           |24.418   |~ ~ ~                        |    ~     ~            
987 |    628.47|2MASS J13000431+2805243              |*  |13 00 04.3000428192 +28 05 24.454401936|~           |18.575   |~ ~ ~                        |    ~     ~            
988 |    628.65|GMP 2903                             |G  |13 00 09.3 +28 04 09                   |~           |20.80    |~ ~ ~                        |    ~     ~            
989 |    629.14|[CTM2010] 160607                     |G  |13 00 18.63 +27 58 22.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
990 |    629.24|[EDG2007] 690                        |*  |13 00 18.43 +27 58 59.7                |~           |20.228   |~ ~ ~                        |    ~     ~            
991 |    629.31|[CTM2010] 160796                     |G  |13 00 18.66 +27 58 17.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
992 |    630.38|CAIRNS J125916.62+280754.3           |GiC|12 59 16.62 +28 07 54.3                |0.17920     |     ~   |~ ~ ~                        |    ~     ~            
993 |    630.50|GMP 3346                             |G  |12 59 34.3 +27 47 25                   |~           |     ~   |~ ~ ~                        |    ~     ~            
994 |    631.53|[CG99] SA1656-40                     |G  |12 59 02.5 +27 49 30                   |~           |23.57    |~ ~ ~                        |    ~     ~            
995 |    631.62|GMP 3220                             |GiC|12 59 42.52 +28 08 07.7                |0.0306      |     ~   |~ ~ ~                        |    ~     ~            
996 |    631.69|[CTM2010] 160373                     |*  |13 00 18.3179 +27 59 30.447            |0.00015     |     ~   |~ ~ ~                        |    ~     ~            
997 |    631.80|GMP 3982                             |GiC|12 58 50.0643215472 +28 03 14.386766616|0.152355    |19.26    |~ ~ ~                        |    ~     ~            
998 |    632.25|[EDG2007] 549                        |G  |12 59 03.0586181232 +27 49 23.599658136|~           |20.57    |~ ~ ~                        |    ~     ~            
999 |    632.52|[CTM2010] 160792                     |G  |13 00 18.93 +27 58 00.5                |~           |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
1000|    632.61|GMP 2851                             |G  |13 00 13.66 +28 02 43.7                |0.0298      |20.062   |~ ~ ~                        |    ~     ~            
1001|    632.66|2MASX J13001027+2751502              |GiC|13 00 10.2369786504 +27 51 50.292433224|0.03311     |17.103   |SB0 D 2008A&A...490..923M    |0.243 0.195            
1002|    633.41|[UBM96] 1L                           |G  |13 00 00.7 +27 49 36                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1003|    633.57|H-ATLAS J125943.0+280808             |G  |12 59 42.965 +28 08 08.24              |2.96        |     ~   |~ ~ ~                        |    ~     ~            
1004|    633.87|[EDG2007] 624                        |G  |13 00 06.42 +28 05 03.3                |~           |21.726   |~ ~ ~                        |    ~     ~            
1005|    634.02|[EDG2007] 493                        |GiC|12 59 08.1762629856 +27 48 38.365773372|~           |20.611   |~ ~ ~                        |    ~     ~            
1006|    634.12|SDSS J130015.73+280146.7             |G  |13 00 15.731 +28 01 46.73              |0.02330     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
1007|    634.45|SPS J130015.23+275336.1              |GiC|13 00 14.89 +27 53 35.1                |0.28090     |20.182   |~ ~ ~                        |    ~     ~            
1008|    634.46|[VAM2015] DF23                       |LSB|12 59 23.85 +27 47 27.2                |0.02358     |21.16    |~ ~ ~                        |0.132 0.132            
1009|    634.78|2MASX J12584649+2754058              |LIN|12 58 46.4774157000 +27 54 06.464306484|0.15792     |17.26    |~ ~ ~                        |0.177 0.173            
1010|    635.39|[EDG2007] 688                        |*  |12 59 10.7612860992 +27 48 19.379957976|~           |22.00    |~ ~ ~                        |    ~     ~            
1011|    636.03|IC 4012                              |G  |13 00 07.9959855216 +28 04 42.812545800|0.02414     |15.948   |E4 D 2008A&A...490..923M     |0.317 0.234            
1012|    636.22|[CHM2007] HDC 747                    |GrG|13 00 18.9 +27 59 07                   |0.028959    |     ~   |~ ~ ~                        | 36    36              
1013|    636.47|SPS J130016.01+275405.5              |G  |13 00 16.01 +27 54 05.5                |0.575       |     ~   |~ ~ ~                        |    ~     ~            
1014|    636.55|[EDG2007] 622                        |G  |12 59 06.40 +27 48 49.0                |~           |20.999   |~ ~ ~                        |    ~     ~            
1015|    637.08|[EDG2007] 203                        |G  |13 00 10.32 +27 51 44.2                |~           |18.937   |~ ~ ~                        |    ~     ~            
1016|    637.09|[EDG2007] 281                        |*  |13 00 18.5292597864 +27 59 46.619339604|~           |21.013   |~ ~ ~                        |    ~     ~            
1017|    637.62|[EDG2007] 680                        |G  |12 59 20.56 +27 47 32.3                |~           |20.42    |~ ~ ~                        |    ~     ~            
1018|    637.63|[YKK2016] 424                        |LSB|13 00 17.275 +28 00 58.44              |~           |23.76    |~ ~ ~                        |0.090 0.090            
1019|    638.53|LEDA 93586                           |AG?|13 00 18.7771580832 +27 56 13.466814396|0.01762     |17.014   |SB0... D 2008A&A...490..923M |0.253 0.162            
1020|    638.89|IC 4021                              |LIN|13 00 14.7492904032 +28 02 28.679693064|0.01912     |15.974   |E3 D 2008A&A...490..923M     |0.313 0.251            
1021|    640.36|LEDA 126764                          |G  |13 00 11.1464834832 +28 03 54.824309496|0.02454     |18.181   |E/S0 D 2008A&A...490..923M   |0.102300003 0.102300003
1022|    641.77|[HVH2010] Comai J130018.409+275530.52|LSB|13 00 18.4 +27 55 30                   |~           |22.68    |~ ~ ~                        |0.068 0.068            
1023|    643.19|LEDA 126763                          |GiC|13 00 13.40 +28 03 12.3                |0.02716     |18.735   |S... D 2008A&A...490..923M   |    ~     ~            
1024|    644.45|[K94] 125627.01+280744.5             |Rad|12 58 51.93 +27 51 34.0                |~           |     ~   |~ ~ ~                        |    ~     ~            
1025|    644.54|SDSS J125915.61+280804.8             |QSO|12 59 15.6197887512 +28 08 04.838326440|2.07844     |     ~   |~ ~ ~                        |    ~     ~            
1026|    644.63|GMP 2808                             |G  |13 00 16.962 +27 54 15.99              |0.0303      |     ~   |~ ~ ~                        |    ~     ~            
1027|    645.33|SDSS J130018.42+275516.8             |G  |13 00 18.420 +27 55 16.84              |0.02720     |     ~   |dS0 D 2010ApJ...723..251C    |    ~     ~            
1028|    646.46|[YKK2016] 318                        |LSB|12 58 47.341 +27 53 10.98              |~           |23.67    |~ ~ ~                        |0.125 0.125            
1029|    646.66|GMP 2756                             |G  |13 00 19.9 +27 58 36                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1030|    646.92|[CTM2010] 160703                     |G  |13 00 19.7 +27 59 05                   |0.0235      |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
1031|    647.12|[YKK2016] 427                        |LSB|13 00 16.866 +28 01 43.89              |~           |23.53    |~ ~ ~                        |0.147 0.147            
1032|    647.26|CAIRNS J125852.12+280423.1           |GiC|12 58 52.12 +28 04 23.1                |0.20180     |     ~   |~ ~ ~                        |    ~     ~            
