3.994,0.043982,4.071,0.081681,4.02,0.062832,4.182,0.13823
4.045,0.087965,4.124,0.125664,4.071,0.106814,4.235,0.175929
4.1,0.131947,4.176,0.163363,4.126,0.150796,4.289,0.207345
4.146,0.163363,4.227,0.194779,4.183,0.188496,4.333,0.226195
4.205,0.194779,4.283,0.219911,4.231,0.213628,4.376,0.238761
4.255,0.213628,4.328,0.232478,4.282,0.232478,4.444,0.238761
4.281,0.219911,4.435,0.226195,4.309,0.238761,4.495,0.232478
4.418,0.207345,4.497,0.207345,4.44,0.226195,4.555,0.213628
4.469,0.188496,4.549,0.182212,4.491,0.207345,4.605,0.188496
4.528,0.15708,4.608,0.144513,4.549,0.175929,4.655,0.15708
4.575,0.125664,4.657,0.106814,4.604,0.13823,4.712,0.113097
4.631,0.081681,4.709,0.062832,4.658,0.094248,4.764,0.069115
4.683,0.037699,4.764,0.012566,4.716,0.043982,4.819,0.01885
4.74,-0.012566,4.819,-0.037699,4.764,0.,4.874,-0.031416
4.791,-0.056549,4.869,-0.081681,4.819,-0.050265,4.923,-0.075398
4.845,-0.100531,4.923,-0.125664,4.87,-0.094248,4.976,-0.119381
4.897,-0.13823,4.977,-0.163363,4.926,-0.13823,5.027,-0.15708
4.949,-0.169646,5.032,-0.194779,4.973,-0.169646,5.078,-0.188496
5.004,-0.194779,5.078,-0.213628,5.033,-0.201062,5.133,-0.213628
5.047,-0.207345,5.128,-0.226195,5.088,-0.219911,5.177,-0.226195
5.089,-0.213628,5.222,-0.219911,5.122,-0.226195,5.236,-0.232478
5.137,-0.207345,5.289,-0.201062,5.229,-0.213628,5.301,-0.219911
5.202,-0.194779,5.352,-0.169646,5.299,-0.188496,5.344,-0.207345
5.265,-0.169646,5.401,-0.13823,5.355,-0.15708,5.399,-0.182212
5.32,-0.13823,5.459,-0.094248,5.401,-0.125664,5.46,-0.144513
5.374,-0.100531,5.511,-0.050265,5.457,-0.081681,5.51,-0.106814
5.43,-0.056549,5.56,-0.006283,5.514,-0.031416,5.562,-0.062832
5.483,-0.012566,5.617,0.043982,5.563,0.012566,5.618,-0.012566
5.534,0.031416,5.667,0.087965,5.619,0.062832,5.674,0.037699
5.587,0.075398,5.723,0.131947,5.671,0.106814,5.723,0.081681
5.645,0.119381,5.779,0.169646,5.728,0.150796,5.776,0.125664
5.692,0.150796,5.826,0.194779,5.777,0.182212,5.828,0.163363
5.752,0.182212,5.874,0.213628,5.826,0.207345,5.879,0.194779
5.803,0.201062,5.93,0.226195,5.877,0.226195,5.934,0.219911
5.828,0.207345,6.04,0.213628,5.904,0.232478,5.976,0.232478
5.899,0.207345,6.094,0.194779,6.039,0.219911,6.016,0.238761
5.949,0.201062,6.144,0.169646,6.091,0.201062,6.07,0.232478
6.01,0.182212,6.202,0.131947,6.149,0.169646,6.149,0.213628
6.063,0.15708,6.252,0.094248,6.205,0.131947,6.205,0.188496
6.124,0.119381,6.305,0.050265,6.261,0.087965,6.256,0.15708
6.176,0.081681,6.363,0.,6.312,0.043982,6.308,0.119381
6.231,0.037699,6.413,-0.043982,6.361,0.,6.361,0.075398
6.283,-0.006283,6.465,-0.087965,6.418,-0.050265,6.418,0.025133
6.337,-0.050265,6.523,-0.131947,6.47,-0.094248,6.467,-0.01885
6.385,-0.087965,6.571,-0.163363,6.52,-0.131947,6.524,-0.069115
6.439,-0.125664,6.618,-0.188496,6.578,-0.169646,6.578,-0.113097
6.492,-0.15708,6.667,-0.207345,6.628,-0.194779,6.629,-0.150796
6.548,-0.182212,6.73,-0.219911,6.683,-0.213628,6.681,-0.182212
6.59,-0.194779,6.79,-0.213628,6.716,-0.219911,6.735,-0.207345
6.626,-0.201062,6.827,-0.207345,6.831,-0.207345,6.776,-0.219911
6.697,-0.194779,6.885,-0.188496,6.9,-0.182212,6.812,-0.226195
6.757,-0.182212,6.948,-0.15708,6.946,-0.15708,6.877,-0.219911
6.807,-0.163363,6.996,-0.125664,7.003,-0.119381,6.936,-0.207345
6.866,-0.131947,7.054,-0.081681,7.059,-0.075398,6.997,-0.182212
6.924,-0.094248,7.108,-0.037699,7.111,-0.031416,7.051,-0.150796
6.975,-0.056549,7.159,0.006283,7.161,0.012566,7.105,-0.113097
7.03,-0.012566,7.217,0.056549,7.219,0.062832,7.16,-0.069115
7.077,0.025133,7.264,0.094248,7.272,0.106814,7.217,-0.01885
7.132,0.069115,7.324,0.13823,7.322,0.144513,7.267,0.025133
7.184,0.106814,7.374,0.169646,7.371,0.175929,7.324,0.075398
7.243,0.144513,7.426,0.194779,7.42,0.201062,7.37,0.113097
7.294,0.169646,7.461,0.207345,7.471,0.219911,7.43,0.15708
7.345,0.188496,7.533,0.219911,7.497,0.226195,7.482,0.188496
7.37,0.194779,7.57,0.213628,7.641,0.213628,7.537,0.213628
7.414,0.201062,7.64,0.201062,7.692,0.194779,7.577,0.226195
7.503,0.188496,7.691,0.182212,7.751,0.163363,7.61,0.232478
7.547,0.175929,7.75,0.150796,7.798,0.131947,7.688,0.226195
7.605,0.150796,7.798,0.119381,7.856,0.087965,7.742,0.213628
7.661,0.119381,7.856,0.075398,7.908,0.043982,7.803,0.188496
7.717,0.081681,7.909,0.031416,7.959,0.,7.857,0.15708
7.776,0.037699,7.961,-0.012566,8.017,-0.050265,7.902,0.125664
7.823,0.,8.013,-0.056549,8.071,-0.094248,7.958,0.081681
7.88,-0.043982,8.07,-0.100531,8.122,-0.131947,8.017,0.031416
7.931,-0.081681,8.114,-0.131947,8.172,-0.163363,8.067,-0.012566
7.988,-0.119381,8.165,-0.163363,8.222,-0.188496,8.117,-0.056549
8.032,-0.144513,8.218,-0.188496,8.277,-0.207345,8.17,-0.100531
8.089,-0.169646,8.28,-0.207345,8.307,-0.213628,8.221,-0.13823
8.131,-0.182212,8.351,-0.207345,8.432,-0.201062,8.283,-0.175929
8.166,-0.188496,8.43,-0.194779,8.486,-0.182212,8.322,-0.194779
8.25,-0.182212,8.482,-0.175929,8.547,-0.150796,8.378,-0.213628
8.308,-0.169646,8.543,-0.144513,8.596,-0.119381,8.411,-0.219911
8.359,-0.150796,8.601,-0.106814,8.654,-0.075398,8.493,-0.213628
8.409,-0.125664,8.651,-0.069115,8.708,-0.031416,8.548,-0.201062
8.46,-0.094248,8.705,-0.025133,8.759,0.012566,8.595,-0.182212
8.515,-0.056549,8.757,0.01885,8.81,0.056549,8.652,-0.150796
8.574,-0.012566,8.811,0.062832,8.864,0.100531,8.707,-0.113097
8.623,0.025133,8.86,0.100531,8.915,0.13823,8.756,-0.075398
8.674,0.062832,8.915,0.13823,8.976,0.175929,8.815,-0.025133
8.728,0.100531,8.97,0.169646,9.029,0.201062,8.866,0.01885
8.779,0.131947,9.012,0.188496,9.065,0.213628,8.917,0.062832
8.83,0.15708,9.077,0.207345,9.09,0.219911,8.971,0.106814
8.881,0.175929,9.24,0.188496,9.171,0.219911,9.022,0.144513
8.939,0.188496,9.286,0.169646,9.242,0.207345,9.072,0.175929
9.027,0.182212,9.344,0.13823,9.293,0.188496,9.123,0.201062
9.101,0.163363,9.393,0.106814,9.341,0.163363,9.178,0.219911
9.16,0.13823,9.452,0.062832,9.4,0.125664,9.209,0.226195
9.206,0.113097,9.507,0.01885,9.45,0.087965,9.331,0.213628
9.265,0.075398,9.56,-0.025133,9.505,0.043982,9.399,0.188496
9.318,0.037699,9.607,-0.062832,9.556,0.,9.447,0.163363
9.369,0.,9.667,-0.106814,9.609,-0.043982,9.504,0.125664
9.42,-0.037699,9.715,-0.13823,9.663,-0.087965,9.553,0.087965
9.473,-0.075398,9.761,-0.163363,9.715,-0.125664,9.614,0.037699
9.523,-0.106814,9.822,-0.188496,9.765,-0.15708,9.665,-0.006283
9.581,-0.13823,9.872,-0.201062,9.815,-0.182212,9.717,-0.050265
9.625,-0.15708,9.98,-0.194779,9.869,-0.201062,9.771,-0.094248
9.666,-0.169646,0.,0.,9.898,-0.207345,9.822,-0.131947
9.695,-0.175929,0.,0.,0.,0.,9.872,-0.163363
9.839,-0.163363,0.,0.,0.,0.,9.922,-0.188496
9.896,-0.144513,0.,0.,0.,0.,9.977,-0.207345
9.951,-0.119381,0.,0.,0.,0.,0.,0.
