duree
1705840
1709788
1713580
1714108
1708940
1712268
1716196
1711152
1710724
1710508
1712472
1707056
1719912
1715556
1717220
1710964
1710476
1708572
1711148
1708804
1707224
1708896
1714064
1714932
1708732
1708492
1712180
1704780
1708596
1712884
1709660
1706512
1712288
1709624
1713820
1708176
1715204
1714364
1714764
1709456
1712440
1714680
1710064
1712396
1707768
1711688
1710180
1712724
1704724
1712912
1713792
1712836
1706764
1716440
1714048
1711616
1713336
1708740
1705152
1701324
1713708
1708272
1711964
1707172
1713460
1711060
1706364
1711440
1709332
1711844
1706684
1710368
1710132
1708432
1710152
1710004
1707604
1712488
1714244
1711500
1710552
1707540
1704304
1709440
1710108
1708924
1709952
1711400
1704704
1710564
1706132
1710612
1711140
1710028
1710016
1705720
1707532
1705788
1709604
